name,price,rank
東京著衣-yoco 花語女孩刺繡蕾絲網布圓領上衣-S.M.L(共二色),294,1
CACO-甜美荷葉袖上衣(三色)-女,165,2
CACO-舒適細褶棉質寬褲（三色）-女,266,3
CACO-簡約舒適拼接上衣(三色）-女,299,4
CACO-反摺直筒牛仔褲-女,257,5
CACO-浪漫荷葉造型上衣(三色)-女,233,6
CACO-簡約無袖針織背心(四色)-女,120,7
CACO-清新撞色寬版上衣(三色)-女,216,8
CACO-坑條修身針織背心(四色)-女,174,9
CACO-浪漫大荷葉上衣（兩色)-女,330,10
CACO-隨興寬鬆交叉上衣(兩色)-女,266,11
CACO-甜美吊帶牛仔短裙-女,356,12
CACO-輕甜蓬蓬紗裙(三色)-女,192,13
CACO-俏皮牛仔吊帶短褲-女,530,14
CACO-水洗刷舊牛仔寬褲(兩色)-女,430,15
CACO-前短後長寬鬆上衣(兩色)-女,330,16
CACO-荷葉挖肩上衣(兩色)-女,400,17
CACO-電繡字短上衣(兩色)-女,300,18
CACO-率性感抽鬚短褲(兩色)-女,330,19
CACO-趣味斜袋吊帶長褲(兩色)-女,530,20
CACO-舒適棉質魚擺洋裝（三色）-女,330,21
CACO-寬版吊帶牛仔長褲-女,340,22
糖罐子-韓品 女孩兔子上衣(共二色),338,23
CACO-亮片補丁長版上衣-女,330,24
CACO-造型口袋寬版襯衫(三色)-女,299,25
CACO-刺繡牛仔短褲-女,500,26
排鑽領口緞面女童洋裝禮服-OMUSES,690,27
CACO-假兩件拼接長洋裝(兩色)-女,430,28
CACO-復古相片落肩T(兩色)-女,330,29
AIR SPACE  小女人露肩翻領傘擺洋裝(黑),431,30
CACO-甜美蓬袖傘擺上衣(兩色)-女,330,31
CACO-刺繡休閒短褲(兩色)-女,330,32
CACO-男朋友牛仔長褲-女,426,33
CACO-重工刷破牛仔長褲-女,426,34
東京著衣 希臘女神花語系雪紡洋裝-S.M(共二色),590,35
CACO-V領造型寬鬆上衣(四色)-女,300,36
糖罐子-韓品 髮箍女孩寬袖上衣(白),315,37
Candy小舖 新品特色款 女神露肩美胸洋裝-粉色,423,38
東京著衣-yoco 清新女孩小珍珠蕾絲上衣-S.M.L(共二色),390,39
CACO-微性感平口上衣(兩色)-女,300,40
CACO-後衩牛仔吊帶裙(兩色)-女,530,41
斜肩荷葉袖開衩跑趴女神修身包臀洋裝(共二色)-天使波堤,699,42
東京衣服 北歐女神 單肩帶緞面貝殼壓摺小禮服 湖水綠,2880,43
中大尺碼 卡通女孩印花雙口袋腰抽繩棉質連身洋裝XL~4L-Ballet Dolly,690,44
古著 ILOVE滿版英文字女人貼布滑料雪紡洋裝,467,45
CACO-簡約隨興長版襯衫(三色)-女,335,46
LOVE21 女裝 仿皮革拼接西裝外套(黑),828,47
CACO-碎花細肩帶背心(三色)-女,247,48
中大尺碼 女神系水鑽層次感鬆緊腰圓裙附安全褲-SISTERS,459,49
東京著衣-yoco 法式女神多色雪紡上衣-S.M.L(共三色),490,50
南國草裙女孩短袖T恤(白)Fei Fei,354,51
CACO-蕾絲拼接薄上衣-女,212,52
CACO-花版前褶短裙(三色)-女,150,53
Candy小舖 新品特色款休閒潮流亮片個性女孩長版T-shirt-白色,354,54
中大尺碼 荷葉袖甜美淑女領口吊墜飾連身洋裝L~4L-Ballet Dolly,650,55
CACO-牛仔繡花傘擺洋裝-女,530,56
AIR SPACE  小女人露肩翻領傘擺洋裝(紅),431,57
CACO-直筒割破牛仔褲-女,275,58
CACO-破口刷色牛仔長褲-女,580,59
珍珠蕾絲銀蔥女童禮服-OMUSES,1380,60
東京衣服 蜜糖女伶 輕甜馬卡龍色系 深V抓紗高腰設計前短後長小禮服 粉橘,3580,61
中大尺碼 好女孩直條紋荷葉袖雪紡上衣-SISTERS,458,62
中大尺碼 遮眼美女圖印拼接藍色緞帶棉質T恤XL~4L-Ballet Dolly,650,63
Candy小舖  時尚壞女孩棉質接骷魯頭絲巾開襟造型外套【0097962】,449,64
WHALE JEANS 少女輕甜活潑毛茸長版線衫(2色),693,65
摩達客美國進口The Mountain 狼之心 短袖女長版T恤精梳棉環保染,980,66
法式女伶朦朧網紗雙色長裙 (灰色)-Q-chic,1980,67
摩達客美國進口The Mountain 雪狼開路 短袖女長版T恤精梳棉環保染,980,68
WHALE JEANS 迷人女神拼接雪紡飄逸背心KOREA製(2色),1525,69
摩達客美國進口The Mountain 倉鼠臉 短袖女長版T恤精梳棉環保染,950,70
WHALE JEANS 鄰家女孩復古幾何洋裝,200,71
Candy小舖 春季休閒棉質亮片女人頭上衣-白色,308,72
LOVE21 女裝 俐落剪裁西裝外套(共二色),828,73
古著 仿舊感巴黎鐵塔女人水洗背心裙,350,74
LOVE21 女裝 豹紋NO.85背心(黑),510,75
摩達客美國進口The Mountain 藍眼小貓 短袖女長版T恤精梳棉環保染,980,76
WHALE JEANS 玩美女伶立體蝴蝶節棉T(2色),595,77
CACO-翻領露肩條紋襯衫-女,530,78
WHALE JEANS 少女純真印刷貓咪小魚兒圖樣圓領短T-2色,392,79
蕾絲雕花女童禮服-OMUSES,1380,80
【LOVE21】女裝 現貨 雙色口袋柔絲針織長衫(粉紅),1680,81
自由女神刺繡T恤(共三色)Sweet Dress,414,82
韓系 芭蕾舞女孩亮片造型上衣(共二色)-91 KOKO,590,83
【天使波堤】高調女伶‧極致性感裸空透紗拼色洋裝(共二色),590,84
LOVE21 女裝 古著印刷鈕扣開襟洋裝,534,85
LOVE21 女裝 十字造型後開岔背心(灰),459,86
LOVE21 女裝 菊花圓點內搭褲(黑),510,87
【天使波堤】壞壞女神‧網紗亮片挖腰開衩長禮服(共二色),799,88
LOVE21 女裝 愛心塗鴉棒球五分袖上衣(深藍),499,89
氣質露肩女神蕾絲洋裝 (白色)-Kugi Girl,880,90
LOVE21 女裝 愛心塗鴉棒球五分袖上衣(灰),499,91
LOVE21 女裝 蝙蝠圖案棉質背心(白),459,92
正韓 女歌手拼布合身純棉T恤 (共三色)-N.C21,1050,93
La Belleza元氣女孩彩漾水波條紋束袖寬鬆針織衫,245,94
摩達客美國進口The Mountain 魔法貓時刻 短袖女長版T恤精梳棉環保染,980,95
Candy小舖 新品特色款休閒潮流亮片個性女孩長版T-shirt-深粉色,354,96
東京著衣-yoco 多色女孩感刺繡領短袖襯衫-S.M.L(共三色),660,97
WHALE JEANS 甜美女孩時尚卯釘長版T-2色,200,98
花苞鑽石公主女童禮服-OMUSES.kids,395,99
挺版公主女童禮服-OMUSES,980,100
La Belleza都會女孩‧金色繡線後水鑽手錶斑馬紋口袋小直筒長褲,245,101
名媛淑女魅力珍珠領毛呢外套 (冰沙綠)-詩娜,1390,102
LOVE21 女裝 鉚釘狗狗黑色背心,459,103
東京衣服-雅典娜女神 流星水鑽單肩帶 垂墜波浪長禮服 深紫,4280,104
La Belleza時尚個性‧女人圖案流蘇邊蝴蝶袖斗篷柔棉上衣,322,105
東京衣服 月光派對 典雅削肩 璀璨碎鑽女神風高雅設計細褶長禮服 粉橘,5280,106
夏威夷小女孩短袖T恤(白)Fei Fei,354,107
Candy小舖 新品特色款 女神露肩美胸洋裝-黑色,423,108
東京著衣-yoco 花草女神刺繡小短褲-S.M.L(共二色),490,109
LOVE21 女裝 愛心塗鴉棒球五分袖上衣(天藍),499,110
WHALE JEANS 百變女伶高雅素色針織洋裝(2色),792,111
東京衣服-希臘性感女神編織交錯性感裸空雪紡長禮服 深紫,4580,112
摩達客 美國進口The Mountain 貓咪吃貓草 喵嗚系列短袖女版T恤精梳棉,980,113
櫻花飄和服女孩短袖T恤(白)Fei Fei,354,114
法式公主女童禮服-OMUSES,1080,115
摩達客美國進口The Mountain 彩繪貓 短袖女長版T恤精梳棉環保染,950,116
WHALE JEANS輕熟女復古渲染彩圖銀鑽妝點長版棉麻上衣(2色),200,117
LOVE21 女裝 碎花V領腰身洋裝(綠),534,118
東京著衣 垂墜感女神款綁帶雪紡洋裝-S.M(共二色),570,119
WHALE JEANS 燙鑽女郎圖樣T恤,200,120
WHALE JEANS 學院徽章百搭情侶POLO衫-女(2色),200,121
摩達客 美國進口The Mountain 藍眼貓咪 喵嗚系列短袖女版T恤精梳棉,980,122
撞色立體花朵女童禮服-OMUSES,1780,123
中大尺碼 卡通女孩印花抓破刷色腰鬆緊抽繩牛仔褲XL~4L-Ballet Dolly,750,124
摩達客 美國進口The Mountain 貓咪鬥士 喵嗚系列短袖女版T恤精梳棉環保染,980,125
中大尺碼女孩珠釘蝴蝶結露肩吊帶開叉棉質洋裝L~4L-Ballet Dolly,690,126
WHALE JEANS 浪漫風情立體淑女帽橫條刷毛棉T(2色),494,127
WHALE JEANS 女伶風範色系金色繡線保暖柔軟絨毛休閒褲_枚紅,693,128
摩達客 美國進口The Mountain 貓咪親親 喵嗚系列短袖女版T恤精梳棉環保染,980,129
CACO-率性牛仔短裙(兩色)-女,400,130
東京衣服-希臘性感女神編織交錯性感裸空雪紡長禮服 蘋果綠,4580,131
中大尺碼 NAME印刷背女人圖印腰抽繩長版上衣XL~4L-Ballet Dolly,750,132
摩達客美國進口The Mountain DJ加滿獅 短袖女長版T恤精梳棉環保染,980,133
摩達客 美國LA設計品牌Suvnir-藍白橫紋女版連帽外套,3990,134
CACO-細肩帶蛋糕長洋裝（兩色)-女,500,135
古著 自由女神骷顱人FIVE FINGER長版T恤,350,136
中大尺碼 抽煙女人上衣加紅色滾邊條休閒闊腿長褲套裝XL~4L-Ballet Dolly,950,137
WHALE JEANS 深邃渲染刷色亮片女孩加大版中低腰直筒牛仔褲,1085,138
中大尺碼瘋狂女孩圖印露臂鬚鬚邊紅色腰帶洋裝XL~4L-Ballet Dolly,790,139
東京衣服-希臘女伶 單肩帶 水鑽點綴 垂墜波浪雪紡長禮服 淺紫色,4980,140
東京衣服 英倫情懷 深V抓皺扭結 女神輪廓 美背交叉長禮服 粉橘,5280,141
摩達客 美國進口The Mountain 吐舌貓咪 喵嗚系列短袖女版T恤精梳棉,980,142
CACO-BOHO感繡花上衣(兩色)-女,299,143
CACO-棉質壓褶裙(三色)-女,265,144
東京衣服 月光派對 典雅削肩 璀璨碎鑽女神風高雅設計細褶長禮服 粉綠,5280,145
La Belleza女人花朵印花圖片棉質背心洋裝XL~4L,350,146
東京衣服 月光派對 典雅削肩 璀璨碎鑽女神風高雅設計細褶長禮服 粉紫,5280,147
CACO-針織牛仔長裙-女,405,148
Candy小舖 新品特色款 無肩線花花反摺雪紡上衣,385,149
WHALE JEANS 人氣單品橫條情侶POLO衫-女(2色),794,150
