name,price,rank
CACO-甜美荷葉袖上衣(三色)-女,165,1
CACO-反摺直筒牛仔褲-女,257,2
CACO-簡約無袖針織背心(四色)-女,120,3
CACO-清新撞色寬版上衣(三色)-女,216,4
CACO-浪漫大荷葉上衣（兩色)-女,330,5
CACO-甜美吊帶牛仔短裙-女,356,6
CACO-輕甜蓬蓬紗裙(三色)-女,192,7
CACO-水洗刷舊牛仔寬褲(兩色)-女,430,8
CACO-前短後長寬鬆上衣(兩色)-女,330,9
CACO-荷葉挖肩上衣(兩色)-女,400,10
CACO-電繡字短上衣(兩色)-女,300,11
CACO-寬版吊帶牛仔長褲-女,340,12
CACO-率性感抽鬚短褲(兩色)-女,330,13
CACO-趣味斜袋吊帶長褲(兩色)-女,530,14
CACO-舒適棉質魚擺洋裝（三色）-女,330,15
CACO-假兩件拼接長洋裝(兩色)-女,430,16
CACO-復古相片落肩T(兩色)-女,330,17
CACO-亮片補丁長版上衣-女,330,18
排鑽領口緞面女童洋裝禮服-OMUSES,690,19
CACO-刺繡牛仔短褲-女,500,20
AIR SPACE  小女人露肩翻領傘擺洋裝(黑),431,21
CACO-造型口袋寬版襯衫(三色)-女,299,22
CACO-重工刷破牛仔長褲-女,426,23
CACO-刺繡休閒短褲(兩色)-女,330,24
CACO-甜美蓬袖傘擺上衣(兩色)-女,330,25
CACO-男朋友牛仔長褲-女,426,26
CACO-V領造型寬鬆上衣(四色)-女,300,27
CACO-微性感平口上衣(兩色)-女,300,28
Candy小舖 新品特色款 女神露肩美胸洋裝-粉色,423,29
Candy小舖 新品特色款休閒潮流亮片個性女孩長版T-shirt-白色,354,30
CACO-簡約隨興長版襯衫(三色)-女,335,31
中大尺碼 卡通女孩印花雙口袋腰抽繩棉質連身洋裝XL~4L-Ballet Dolly,690,32
CACO-後衩牛仔吊帶裙(兩色)-女,530,33
CACO-碎花細肩帶背心(三色)-女,247,34
LOVE21 女裝 仿皮革拼接西裝外套(黑),828,35
東京衣服 北歐女神 單肩帶緞面貝殼壓摺小禮服 湖水綠,2880,36
中大尺碼 荷葉袖甜美淑女領口吊墜飾連身洋裝L~4L-Ballet Dolly,650,37
古著 ILOVE滿版英文字女人貼布滑料雪紡洋裝,467,38
CACO-直筒割破牛仔褲-女,275,39
CACO-蕾絲拼接薄上衣-女,212,40
CACO-花版前褶短裙(三色)-女,150,41
CACO-牛仔繡花傘擺洋裝-女,530,42
AIR SPACE  小女人露肩翻領傘擺洋裝(紅),431,43
CACO-破口刷色牛仔長褲-女,580,44
中大尺碼 美女圖像拼接網子襯衫領百摺裙擺洋裝XL~4L-Ballet Dolly,890,45
摩達客美國進口The Mountain 陰陽村 短袖女長版T恤精梳棉環保染,980,46
東京衣服 蜜糖女伶 輕甜馬卡龍色系 深V抓紗高腰設計前短後長小禮服 粉橘,3580,47
Candy小舖 新品特色款 無肩線花花反摺雪紡上衣,385,48
法式女伶朦朧網紗雙色長裙 (灰色)-Q-chic,1980,49
WHALE JEANS 簡約電繡字母水洗圓領純棉T恤情侶款-女(2色),200,50
WHALE JEANS 少女輕甜活潑毛茸長版線衫(2色),693,51
LOVE21 女裝 唯美花紋內搭褲(黑),510,52
WHALE JEANS 男款魔女鯊魚圖騰字母銀色卯釘印刷T恤(2色),794,53
歐根紗澎裙女童禮服-OMUSES,980,54
LOVE21 女裝 俐落剪裁西裝外套(共二色),828,55
摩達客美國進口The Mountain 魔法貓時刻 短袖女長版T恤精梳棉環保染,980,56
